sample,seed,source,target,N_target,spearman,pearson,target_centered_r2,rmse
Q1,20260925,medical,cash,880,0.0667766668507701,0.06338534441948128,-0.0514665254469846,0.29464102048320656
Q1,20260925,medical,food,901,0.1028736758936056,0.06601320056943406,-0.02775687016642925,0.2783574711874469
Q1,20260925,medical,medical,934,0.1840311959233153,0.1823370101659515,0.03242347657194855,0.23046154998273863
Q1,20260926,cash,cash,880,0.07523123780779102,0.11205619961470042,0.011038744518504728,0.2857492658683587
Q1,20260926,cash,food,901,0.10817909574251912,0.12354367487932888,0.005953989919677105,0.2737542884932172
Q1,20260926,cash,medical,934,0.10667472536258385,0.10387827583870737,-0.07979975235777981,0.24345989422354772
Q1,20260926,food,cash,880,0.10330539434749571,0.11718456865184347,0.00844941643489383,0.2861230999906133
Q1,20260926,food,food,901,0.1135075608946139,0.10191463645307158,0.009689481723752502,0.2732394383731422
Q1,20260926,food,medical,934,0.0954013744307917,0.06694739491052012,-0.044990084953957954,0.23950352081309145
Q1,20260926,medical,cash,880,0.08774747363951237,0.09844971736670412,-0.04328056688970028,0.2934918484209965
Q1,20260926,medical,food,901,0.10165836381116254,0.0616043554086833,-0.029660655853528395,0.2786151623807659
Q1,20260926,medical,medical,934,0.13680413925786328,0.1141550762048545,0.010710631898306788,0.23303303321664773
Q1,20260927,cash,cash,880,0.09629035576229916,0.12426997828411215,0.014638381031105596,0.2852287544908576
Q1,20260927,cash,food,901,0.1266384642326801,0.12048040180732905,0.0057981514491892705,0.2737757461406891
Q1,20260927,cash,medical,934,0.05917190505864339,0.06191647726242211,-0.09610728538863955,0.245291415495625
Q1,20260927,food,cash,880,0.09822708333124221,0.11651983248927399,0.008567339764800619,0.28610608543154287
Q1,20260927,food,food,901,0.039114998928012006,0.04413428417761347,-0.005711226573647421,0.27535586873432877
Q1,20260927,food,medical,934,0.11900804634945471,0.10170797586970297,-0.035022157344914095,0.2383584983786438
Q1,20260927,medical,cash,880,0.07638360796627412,0.08224602947691823,-0.04892227398746285,0.29428433063269577
Q1,20260927,medical,food,901,0.1175133888980194,0.08718572264216841,-0.021872402409662373,0.27755945322344727
Q1,20260927,medical,medical,934,0.182150066495787,0.15037469136632012,0.02252685760484907,0.2316371612150481
Q1,20260928,cash,cash,880,0.09309658393909687,0.1310922317707171,0.01659211567203056,0.28494584424227076
