sample,amount,classification,outcome,N,N_food,N_cash,food_minus_cash,se,lo,hi
Q1,200,strict_inframarginal,outcome_ord,612,321,291,-0.10453800944214287,0.14038038774781103,-0.3796835694278525,0.17060755054356674
Q1,200,strict_inframarginal,mpc_midpoint,612,321,291,-0.025650351671644672,0.024413743690977086,-0.07350128930595975,0.022200585962670417
Q1,1000,ambiguous,outcome_ord,24,11,13,-0.7202797202797202,0.6333145014371726,-1.9615761430965786,0.5210167025371382
Q1,1000,ambiguous,mpc_midpoint,24,11,13,-0.1339160839160839,0.10527025959277221,-0.34024579271791744,0.07241362488574962
Q1,1000,strict_inframarginal,outcome_ord,558,278,280,-0.11590441932168538,0.13690340603241472,-0.3842350951452182,0.15242625650184743
Q1,1000,strict_inframarginal,mpc_midpoint,558,278,280,-0.027095323741007205,0.023426852674771487,-0.07301195498355931,0.018821307501544905
Q1,5000,ambiguous,outcome_ord,120,59,61,0.18227285357043588,0.2745571989609431,-0.35585925639301264,0.7204049635338844
Q1,5000,ambiguous,mpc_midpoint,120,59,61,0.04952070019449842,0.044779167365570305,-0.03824646784201938,0.1372878682310162
Q1,5000,binding,outcome_ord,33,15,18,0.11111111111111116,0.4299938355606843,-0.7316768065878301,0.9538990288100524
Q1,5000,binding,mpc_midpoint,33,15,18,0.03805555555555555,0.06280363014288577,-0.08503955952450055,0.16115067063561167
Q1,5000,strict_inframarginal,outcome_ord,411,205,206,-0.21991475254558335,0.15554931037254024,-0.5247914008757621,0.08496189578459551
Q1,5000,strict_inframarginal,mpc_midpoint,411,205,206,-0.03223715368221641,0.0266962948656921,-0.08456189161897293,0.020087584254540103
Q2,200,ambiguous,outcome_ord,14,8,6,0.625,0.789156421213727,-0.9217465855789049,2.171746585578905
Q2,200,ambiguous,mpc_midpoint,14,8,6,0.08125000000000002,0.12354058760469891,-0.16088955170520985,0.3233895517052099
Q2,200,strict_inframarginal,outcome_ord,264,150,114,-0.13228070175438633,0.23218727356076455,-0.5873677579334848,0.32280635442471217
Q2,200,strict_inframarginal,mpc_midpoint,264,150,114,-0.030692982456140327,0.040342178234720374,-0.10976365179619225,0.0483776868839116
Q2,1000,ambiguous,outcome_ord,12,4,8,0.625,0.9899043965382285,-1.3152126172149279,2.565212617214928
Q2,1000,ambiguous,mpc_midpoint,12,4,8,0.08125000000000002,0.16017684609146704,-0.23269661833927538,0.39519661833927544
Q2,1000,strict_inframarginal,outcome_ord,238,118,120,0.32612994350282465,0.2302306491309387,-0.12512212879381523,0.7773820157994645
Q2,1000,strict_inframarginal,mpc_midpoint,238,118,120,0.04301200564971738,0.03988059728792079,-0.035153965034607354,0.12117797633404212
Q2,5000,ambiguous,outcome_ord,68,34,34,0.17647058823529438,0.3805317934713316,-0.5693717269685156,0.9223129034391043
Q2,5000,ambiguous,mpc_midpoint,68,34,34,0.05808823529411766,0.06179294936116748,-0.06302594545377059,0.17920241604200593
Q2,5000,binding,outcome_ord,17,8,9,0.125,0.7208281722909101,-1.2878232176901838,1.5378232176901838
Q2,5000,binding,mpc_midpoint,17,8,9,0.06979166666666667,0.11430363590260616,-0.15424345970244138,0.29382679303577475
Q2,5000,strict_inframarginal,outcome_ord,206,95,111,-0.3731626363205307,0.23152885868885417,-0.8269591993506848,0.08063392670962344
Q2,5000,strict_inframarginal,mpc_midpoint,206,95,111,-0.05253437648174497,0.03929590392244608,-0.12955434816973926,0.024485595206249336
