sample,outcome,amount,contrast,effect,se,lo,hi,p,N
A,outcome_ord,pooled,medical-food,-0.18792894707695362,0.049983833555294996,-0.28589726084533185,-0.08996063330857543,0.0001700529246548881,5480
A,outcome_ord,200,food-cash,-0.15550346589799213,0.09458687875075582,-0.3408937482494735,0.029886816453489257,0.10017044326011167,1845
A,outcome_ord,200,medical-cash,-0.4711056997986569,0.09167863237754881,-0.6507958192586526,-0.2914155803386612,2.7669845191108693e-07,1845
A,outcome_ord,200,medical-food,-0.3156022339006648,0.09030381218271717,-0.4925977057787904,-0.13860676202253913,0.0004742504065219288,1845
A,outcome_ord,1000,food-cash,-0.13839071300702965,0.08929756242834076,-0.3134139353665776,0.036632509352518244,0.12119665017498471,1822
A,outcome_ord,1000,medical-cash,-0.2737232936701024,0.08815269814929445,-0.44650258204271953,-0.10094400529748526,0.0019021214581763522,1822
A,outcome_ord,1000,medical-food,-0.13533258066307274,0.08454719285943504,-0.3010450786675654,0.030379917341419926,0.10944891395305913,1822
A,outcome_ord,5000,food-cash,-0.07579010995337043,0.08656937333454927,-0.24546608168908698,0.09388586178234612,0.3813105575184984,1813
A,outcome_ord,5000,medical-cash,-0.18782225606439695,0.08387505685937068,-0.3522173675087635,-0.023427144620030427,0.025135750741246743,1813
A,outcome_ord,5000,medical-food,-0.11203214611102652,0.08478523823988891,-0.2782112130612088,0.05414692083915576,0.1863800842597173,1813
A,mpc_midpoint,pooled,food-cash,-0.020321572300754542,0.008843167540810805,-0.03765418068074372,-0.002988963920765364,0.021561961022438864,5480
A,mpc_midpoint,pooled,medical-cash,-0.0496547071321459,0.008440972733192815,-0.06619901368920382,-0.033110400575087975,4.039171708480738e-09,5480
A,mpc_midpoint,pooled,medical-food,-0.029333134831391355,0.008205564662269581,-0.045416041569439736,-0.013250228093342975,0.00035051493844611955,5480
A,mpc_midpoint,200,food-cash,-0.025995158829461018,0.016334096850809426,-0.05800998865704749,0.006019670998125455,0.1115047543222697,1845
A,mpc_midpoint,200,medical-cash,-0.07571339721493106,0.015507748374589724,-0.10610858402912692,-0.04531821040073521,1.0485840390170686e-06,1845
A,mpc_midpoint,200,medical-food,-0.04971823838547004,0.014965305550231244,-0.07905023726392328,-0.020386239507016804,0.0008929995275139237,1845
A,mpc_midpoint,1000,food-cash,-0.026850740077719065,0.01499965742015797,-0.05625006862122869,0.0025485884657905564,0.07343940849722666,1822
A,mpc_midpoint,1000,medical-cash,-0.048415866766930576,0.014646739031461018,-0.07712347526859417,-0.01970825826526698,0.0009478237129677652,1822
A,mpc_midpoint,1000,medical-food,-0.02156512668921151,0.013822591950742692,-0.048657406912667185,0.005527153534244163,0.11872768815167822,1822
A,mpc_midpoint,5000,food-cash,-0.006688014506936846,0.014375583590007776,-0.03486415834335209,0.021488129329478394,0.6417636812737709,1813
A,mpc_midpoint,5000,medical-cash,-0.023207331665397596,0.0134979901356,-0.049663392331173596,0.0032487290003784045,0.08555656152209855,1813
A,mpc_midpoint,5000,medical-food,-0.01651931715846075,0.013821476553443625,-0.043609411203210255,0.010570776886288755,0.2320120530374159,1813
A,mpc_alt,pooled,food-cash,-0.021879815041388362,0.009766636396996254,-0.04102242237950102,-0.0027372077032757035,0.025073980775305028,5480
A,mpc_alt,pooled,medical-cash,-0.054996115830881626,0.009250647691643212,-0.07312738530650231,-0.03686484635526093,2.762716809791006e-09,5480
A,mpc_alt,pooled,medical-food,-0.033116300789493264,0.00897129748146254,-0.05070004385315984,-0.015532557725826686,0.00022305697776752194,5480
