feature_set,model,fold,r2,rmse,mae
ALL,ridge,1,0.051029878112650806,0.2474388989573227,0.19342518162461694
ALL,ridge,2,0.039679383932442414,0.24060700755857994,0.1856221700857963
ALL,ridge,3,0.022949983906534577,0.24959680719882307,0.194753153676485
ALL,ridge,4,0.04763818352229876,0.26258328651672175,0.19874653342517662
ALL,ridge,5,0.0430659602624851,0.2515565722301526,0.1954977777105019
ALL,ridge,6,0.029194290594364847,0.2565410521824619,0.19551999995035985
ALL,ridge,7,0.05543958049921227,0.24738598948087234,0.191885906199698
ALL,ridge,8,0.04756306258038179,0.2553259651979358,0.19842952071754616
ALL,ridge,9,0.021826291967416145,0.25022998749548936,0.19132714180616317
ALL,elastic_net,0,0.04593371336201468,0.25871915915451144,0.1997508688477912
ALL,elastic_net,1,0.05033881907095017,0.24752897754109696,0.1935108659518005
ALL,elastic_net,2,0.04551142854760415,0.23987528956009174,0.18544105388603707
ALL,elastic_net,3,0.023958028722375513,0.24946801660801537,0.1947223983063804
ALL,elastic_net,4,0.046926217454076324,0.2626814191065829,0.19847127610287515
ALL,elastic_net,5,0.04029732692059251,0.2519202153083368,0.19546766272703311
ALL,elastic_net,6,0.031681216440897275,0.2562122491667189,0.19579291099379148
ALL,elastic_net,7,0.0548631710731885,0.2474614604965292,0.19239153442450016
ALL,elastic_net,8,0.04749950059048391,0.25533448479384097,0.19873200217672518
ALL,elastic_net,9,0.02714537458391586,0.24954871365248088,0.1910474356402126
ALL,random_forest,0,0.05488583159459404,0.25750250198996427,0.199074965599044
ALL,random_forest,1,0.06356696032230713,0.24579897592388586,0.19276820584974955
ALL,random_forest,2,0.05196051553666947,0.23906354671071972,0.18463256653698623
ALL,random_forest,3,0.027360612004030616,0.24903280131903113,0.19418304786527957
ALL,random_forest,4,0.042979081344601267,0.26322480202115434,0.1995924428312018
ALL,random_forest,5,0.05380760288663222,0.25014071886836237,0.19458780708623
ALL,random_forest,6,0.046199194134618815,0.2542843037580086,0.19334238173822318
ALL,random_forest,7,0.0645750303783954,0.24618676850911764,0.1923476221462962
ALL,random_forest,8,0.048781819092340695,0.25516255291188417,0.19842428329923187
ALL,random_forest,9,0.04130791833738312,0.2477256243627864,0.19000058624771798
ALL,hist_gradient_boosting,0,0.05051848224742006,0.2580967726206914,0.19802579042062607
ALL,hist_gradient_boosting,1,0.06590768228232091,0.24549158232345006,0.18995983771855218
ALL,hist_gradient_boosting,2,0.01950710563623359,0.2431209426502654,0.1860334592374162
ALL,hist_gradient_boosting,3,0.003524086100875179,0.25206586109964907,0.19519695762934502
ALL,hist_gradient_boosting,4,0.05252968490724219,0.2619080809394764,0.1984424615909842
ALL,hist_gradient_boosting,5,0.036679966524973184,0.2523945440422047,0.1940724633987745
ALL,hist_gradient_boosting,6,0.029381706788320305,0.25651628807784416,0.1937283433151421
ALL,hist_gradient_boosting,7,0.06974150663216672,0.2455059660691807,0.18957686704959997
ALL,hist_gradient_boosting,8,0.04750972061956882,0.2553331149610364,0.19767100872439283
ALL,hist_gradient_boosting,9,0.005736679661759503,0.25227956328365875,0.1929362273800774
