feature_set,model,fold,r2,rmse
O+S,random_forest,2,0.040551335601722194,0.2404977496071134
O+S,random_forest,3,0.0326047931016602,0.2483605386893996
O+S,random_forest,4,0.0382271349617912,0.2638774947999702
O+S,random_forest,5,0.05273428357340337,0.2502825530081832
O+S,random_forest,6,0.04335200585108123,0.25466355264923896
O+S,random_forest,7,0.06429859345113775,0.2462231423973805
O+S,random_forest,8,0.053527632742189524,0.2545252290296832
O+S,random_forest,9,0.04096329387341913,0.2477701457692136
O+S,hist_gradient_boosting,0,0.02254739529202998,0.2618708575395157
O+S,hist_gradient_boosting,1,0.01146206037578168,0.2525447682265015
O+S,hist_gradient_boosting,2,-0.027541828251215206,0.2488856748119225
O+S,hist_gradient_boosting,3,-0.020928535036269125,0.25513985171701326
O+S,hist_gradient_boosting,4,-0.01075426529884127,0.27051346275682797
O+S,hist_gradient_boosting,5,0.010722138192350905,0.2557724784407427
O+S,hist_gradient_boosting,6,-0.00202971491400028,0.26063396504575426
O+S,hist_gradient_boosting,7,0.0499509693969985,0.2481036983224662
O+S,hist_gradient_boosting,8,0.04149537476899223,0.2561379762521762
O+S,hist_gradient_boosting,9,-0.01935668464703677,0.25544326061328976
O+A,ridge,0,0.037717935478083,0.25983072905176174
O+A,ridge,1,0.05428834373524993,0.24701371989283907
O+A,ridge,2,0.03593702105359653,0.24107537362960713
O+A,ridge,3,0.022347122132473918,0.24967379873838624
O+A,ridge,4,0.04277042956681554,0.26325349487863725
O+A,ridge,5,0.038075837630350606,0.25221161523467533
O+A,ridge,6,0.037079673342251485,0.25549704876179585
O+A,ridge,7,0.048946314604111696,0.24823484561074127
O+A,ridge,8,0.03346121157405457,0.25720920742015735
O+A,ridge,9,0.03379496063453813,0.2486944025973853
O+A,random_forest,0,0.04570893539811316,0.2587496344693525
O+A,random_forest,1,0.08376394535450105,0.24313383134058394
O+A,random_forest,2,0.039937041438159904,0.24057472752664913
O+A,random_forest,3,0.025153248361008518,0.24931522583739638
O+A,random_forest,4,0.04469884864356655,0.2629881880925036
O+A,random_forest,5,0.04913681839839079,0.2507573561801684
O+A,random_forest,6,0.038606430723659324,0.25529441686144017
O+A,random_forest,7,0.0689806731780086,0.24560634191990607
O+A,random_forest,8,0.044890718538344365,0.2556839106184916
O+A,random_forest,9,0.030980139767034953,0.24905639671963561
O+A,hist_gradient_boosting,0,-0.015310272404884584,0.26689393593563254
O+A,hist_gradient_boosting,1,0.05851030780814115,0.2464617283891131
