sample,variable,contrast,spec,se_type,amount,effect,se,lo,hi,p,N
R,income_h,medical-cash,province_FE,HC1,pooled,-0.10902065915982138,0.05400680077957271,-0.2148720436080136,-0.003169274711629158,0.04352393618073153,5497
R,income_h,medical-food,province_FE,HC1,200,-0.238960787396941,0.09609828512316317,-0.42730996521440207,-0.05061160957947991,0.012895978809576386,5497
R,income_h,medical-food,province_FE,HC1,1000,-0.1374330877804067,0.08742787874823135,-0.3087885813716749,0.03392240581086153,0.11595993554753911,5497
R,income_h,medical-food,province_FE,HC1,5000,-0.06321800429384956,0.085482469654245,-0.23076056612570783,0.10432455753800872,0.4595770390979308,5497
R,income_h,medical-food,province_FE,HC1,pooled,-0.14653729315706576,0.0516998428523814,-0.24786712315411386,-0.04520746316001768,0.00459138852509857,5497
R,income_h,medical-cash,province_FE,HC3,200,-0.0740381034364873,0.10156132526834018,-0.2730946431845918,0.1250184363116172,0.46600228094598994,5497
R,income_h,medical-cash,province_FE,HC3,1000,-0.24286302408604882,0.0896794051806013,-0.4186314283950021,-0.06709461977709552,0.006766456615823016,5497
R,income_h,medical-cash,province_FE,HC3,5000,-0.010160849956928009,0.091530378391909,-0.18955709509639285,0.16923539518253683,0.9116078741048572,5497
R,income_h,medical-cash,province_FE,HC3,pooled,-0.10902065915982138,0.05451438997472295,-0.21586690014944976,-0.00217441817019301,0.04551635192741859,5497
R,income_h,medical-food,province_FE,HC3,200,-0.238960787396941,0.09697492439288895,-0.4290281466104981,-0.04889342818338388,0.013733851380208809,5497
R,income_h,medical-food,province_FE,HC3,1000,-0.1374330877804067,0.08814801387621043,-0.31020002028651605,0.035333844725702696,0.11896863480886047,5497
R,income_h,medical-food,province_FE,HC3,5000,-0.06321800429384956,0.08625486345499578,-0.2322744301570614,0.10583842156936225,0.46360658920616604,5497
R,income_h,medical-food,province_FE,HC3,pooled,-0.14653729315706576,0.05215493588022583,-0.24875908909830421,-0.04431549721582731,0.004959487746651724,5497
R,income_h,medical-cash,province_FE,province_cluster,200,-0.0740381034364873,0.09326390356956679,-0.2568319954904548,0.10875578861748021,0.42727930466108643,5497
R,income_h,medical-cash,province_FE,province_cluster,1000,-0.24286302408604882,0.08885284142569778,-0.417011393204465,-0.0687146549676326,0.006269986448739389,5497
R,income_h,medical-cash,province_FE,province_cluster,5000,-0.010160849956928009,0.09021433254939586,-0.1869776926430634,0.1666559927292074,0.9103238147284956,5497
R,income_h,medical-cash,province_FE,province_cluster,pooled,-0.10902065915982138,0.06362323972477264,-0.23371991760013383,0.015678599280491062,0.0866141280688041,5497
R,income_h,medical-food,province_FE,province_cluster,200,-0.238960787396941,0.10335623761738334,-0.44153529070457626,-0.03638628408930572,0.02077706161567926,5497
R,income_h,medical-food,province_FE,province_cluster,1000,-0.1374330877804067,0.08449437820625584,-0.3030390259607742,0.028172850399960814,0.10383583286852552,5497
R,income_h,medical-food,province_FE,province_cluster,5000,-0.06321800429384956,0.08806209592298833,-0.2358165407060182,0.1093805321183191,0.47283137255019025,5497
R,income_h,medical-food,province_FE,province_cluster,pooled,-0.14653729315706576,0.05753881286606996,-0.2593112940877528,-0.03376329222637875,0.010872955680172837,5497
R,income_h,medical-cash,citytier_FE,HC1,200,-0.08431848015143686,0.10026927893062758,-0.28084265561126776,0.11220569530839405,0.40039254029132054,5497
R,income_h,medical-cash,citytier_FE,HC1,1000,-0.2411772880311153,0.0892925152609656,-0.416187402031601,-0.06616717403062958,0.006913551865942133,5497
R,income_h,medical-cash,citytier_FE,HC1,5000,-0.027111422728108,0.08986339913342456,-0.20324044855796802,0.14901760310175205,0.762883863102167,5497
R,income_h,medical-cash,citytier_FE,HC1,pooled,-0.11753573030355338,0.0538626303343239,-0.2231045458714228,-0.01196691473568394,0.029099297546542387,5497
R,income_h,medical-food,citytier_FE,HC1,200,-0.25607349121648754,0.09591118514773038,-0.444055959820592,-0.06809102261238306,0.007587332654574683,5497
R,income_h,medical-food,citytier_FE,HC1,1000,-0.14161552829995738,0.0869905430373897,-0.31211385964882277,0.028882803048908,0.1035372585298496,5497
R,income_h,medical-food,citytier_FE,HC1,5000,-0.06076260290715722,0.08472110348948617,-0.22681291447704083,0.10528770866272637,0.47324612993207493,5497
R,income_h,medical-food,citytier_FE,HC1,pooled,-0.15281720747453406,0.051562831676417176,-0.2538785005012128,-0.051755914447855336,0.003039559739074872,5497
R,income_h,medical-cash,citytier_FE,HC3,200,-0.08431848015143686,0.1010025311315298,-0.28227980351662085,0.11364284321374712,0.40382158828992754,5497
R,income_h,medical-cash,citytier_FE,HC3,1000,-0.2411772880311153,0.08980628314458541,-0.4171943685799092,-0.06516020748232138,0.00724153067328801,5497
R,income_h,medical-cash,citytier_FE,HC3,5000,-0.027111422728108,0.09051008467238719,-0.20450792892365766,0.15028508346744168,0.7645277871858389,5497
R,income_h,medical-cash,citytier_FE,HC3,pooled,-0.11753573030355338,0.05422865872237848,-0.22382194832932906,-0.011249512277777693,0.030203615133559323,5497
R,income_h,medical-food,citytier_FE,HC3,200,-0.25607349121648754,0.09658603280666671,-0.4453786369271584,-0.06676834550581667,0.008019501872395559,5497
R,income_h,medical-food,citytier_FE,HC3,1000,-0.14161552829995738,0.08750261798958056,-0.31311750811250194,0.029886451512587148,0.10557324368235957,5497
R,income_h,medical-food,citytier_FE,HC3,5000,-0.06076260290715722,0.08527254391246128,-0.22789371784569157,0.10636851203137711,0.4761122710721585,5497
R,income_h,medical-food,citytier_FE,HC3,pooled,-0.15281720747453406,0.05189855205870289,-0.2545365003593688,-0.051097914589699325,0.0032343825720797955,5497
R,income_h,medical-cash,citytier_FE,province_cluster,200,-0.08431848015143686,0.09279680589915822,-0.266196877594141,0.09755991729126726,0.3635425155138666,5497
R,income_h,medical-cash,citytier_FE,province_cluster,1000,-0.2411772880311153,0.09032699129286045,-0.4182149377969848,-0.06413963826524574,0.007584069048824121,5497
R,income_h,medical-cash,citytier_FE,province_cluster,5000,-0.027111422728108,0.08786517980573104,-0.1993240106424769,0.14510116518626087,0.7576584789207209,5497
R,income_h,medical-cash,citytier_FE,province_cluster,pooled,-0.11753573030355338,0.06317943998828665,-0.24136515724400492,0.006293696636898147,0.06283633907353631,5497
R,income_h,medical-food,citytier_FE,province_cluster,200,-0.25607349121648754,0.10332683348899571,-0.4585903634914863,-0.053556618941488804,0.013201511165511038,5497
R,income_h,medical-food,citytier_FE,province_cluster,1000,-0.14161552829995738,0.08298091060815681,-0.30425512449628245,0.021024067896367682,0.08789573873324087,5497
R,income_h,medical-food,citytier_FE,province_cluster,5000,-0.06076260290715722,0.08517511762295599,-0.2277027658271138,0.10617756001279936,0.47560790385182206,5497
R,income_h,medical-food,citytier_FE,province_cluster,pooled,-0.15281720747453406,0.05639518049616014,-0.2633497301486436,-0.042284684800424494,0.006733261799846599,5497
R,q43_edu,medical-cash,saturated,HC1,200,-0.11115882733734653,0.09653184164655053,-0.3003577603259092,0.07804010565121619,0.24951632322347872,5497
R,q43_edu,medical-cash,saturated,HC1,1000,-0.17566476582806415,0.09028574333618437,-0.3526215710844127,0.0012920394282844028,0.051696384750001205,5497
R,q43_edu,medical-cash,saturated,HC1,5000,-0.01604011293758144,0.0879325782091354,-0.18838479929523838,0.15630457342007553,0.8552580216243615,5497
R,q43_edu,medical-cash,saturated,HC1,pooled,-0.10095456870099738,0.05291717869773067,-0.20467033311201965,0.00276119571002488,0.056419086162147504,5497
R,q43_edu,medical-food,saturated,HC1,200,-0.08243806781364942,0.09071224409151311,-0.26023079918982145,0.0953546635625226,0.36346280489738714,5497
R,q43_edu,medical-food,saturated,HC1,1000,-0.2615219892967513,0.08771675009535444,-0.4334436603245464,-0.08960031826895623,0.002868988027564118,5497
R,q43_edu,medical-food,saturated,HC1,5000,-0.11046490155666881,0.08623055597698323,-0.27947368563842107,0.05854388252508343,0.20017916810028402,5497
R,q43_edu,medical-food,saturated,HC1,pooled,-0.1514749862223565,0.05094512108306001,-0.25132558873318633,-0.05162438371152668,0.002946190201268511,5497
R,q43_edu,medical-cash,saturated,HC3,200,-0.11115882733734653,0.0970346321011906,-0.3013432115087743,0.07902555683408122,0.25197796337550094,5497
