feature_set,model,fold,N_test,r2,rmse,mae
O+S,elastic_net,9,1099,0.02112974873057749,0.2598951744571068,0.2003846283054077
O+S,rf,0,1100,0.063640160004243,0.24345987173519806,0.18831651061704785
O+S,rf,1,1100,0.06372609861099943,0.24785173703252109,0.19151195037557467
O+S,rf,2,1099,0.04233257234015664,0.25274838939288385,0.19459523621508099
O+S,rf,3,1099,0.04199665149447451,0.2510991021856201,0.1937247510673093
O+S,rf,4,1099,0.047401009205342515,0.25772771704692377,0.19997494833699606
O+S,rf,5,1100,0.06409342357875047,0.253157168122729,0.19216056854406305
O+S,rf,6,1100,0.06533481530980567,0.2505692287858051,0.19644179459283737
O+S,rf,7,1099,0.050707370954732656,0.2567327943701096,0.19810161087051492
O+S,rf,8,1099,0.031290997671014065,0.23472213755940413,0.18417764416316842
O+S,rf,9,1099,0.02908878685551597,0.25883643481656343,0.1987078249940472
O+S,hgb,0,1100,0.03915285948137326,0.2466227581814421,0.189278440790266
O+S,hgb,1,1100,0.07747883971340719,0.24602468046186945,0.18878967698798169
O+S,hgb,2,1099,0.018502103223095978,0.25587374481295533,0.19576395065319058
O+S,hgb,3,1099,0.007469987924582422,0.2555838867113649,0.19625483897441096
O+S,hgb,4,1099,0.0257133599926731,0.260645026229094,0.20134894284677254
O+S,hgb,5,1100,0.05714628678558298,0.25409501057646394,0.1908359777884589
O+S,hgb,6,1100,0.05770895136779408,0.2515893401392535,0.19544373680333832
O+S,hgb,7,1099,0.03995701047223599,0.25818240013269594,0.1987166163877506
O+S,hgb,8,1099,0.016867821499767288,0.2364630784265595,0.18461884190772676
O+S,hgb,9,1099,0.006527659793461149,0.26182646423262673,0.20037346197890013
O+A,ridge,0,1100,0.04058309437152563,0.2464391390516555,0.1892176493268073
O+A,ridge,1,1100,0.05472233631783574,0.24904062987292241,0.19121121156416376
O+A,ridge,2,1099,0.04549707448360707,0.2523304548252729,0.19435053952048958
O+A,ridge,3,1099,0.023613614485336165,0.25349681311899724,0.1960112620695004
O+A,ridge,4,1099,0.043575881103168346,0.25824464697840327,0.19999246831433815
O+A,ridge,5,1100,0.05139332678106612,0.25486903063146465,0.19319313292652404
O+A,ridge,6,1100,0.05182254489057436,0.25237394457141604,0.1968675685115202
O+A,ridge,7,1099,0.03616727117447616,0.2586914816558197,0.19856583335975253
O+A,ridge,8,1099,0.025474743939525313,0.23542573400559466,0.18340117076988613
O+A,ridge,9,1099,0.01430708072029363,0.26079932874826306,0.2004029830886339
O+A,elastic_net,0,1100,0.04067937854903525,0.24642677279824535,0.18961124066266385
O+A,elastic_net,1,1100,0.05469452884288528,0.24904429289195565,0.19221091507459823
O+A,elastic_net,2,1099,0.045353012578502105,0.2523494960631568,0.1944104919399783
O+A,elastic_net,3,1099,0.026490674664469083,0.2531230555289757,0.1957972915257733
O+A,elastic_net,4,1099,0.04595634106894364,0.25792307205263204,0.2001347576934585
O+A,elastic_net,5,1100,0.04746797892857013,0.25539581206651635,0.19405286298114535
O+A,elastic_net,6,1100,0.05258184159090684,0.2522728743122719,0.19682727967873598
O+A,elastic_net,7,1099,0.03509032939889112,0.25883596621016597,0.19928073219995107
O+A,elastic_net,8,1099,0.03378413117479584,0.23441989476390493,0.1835117516184522
O+A,elastic_net,9,1099,0.021367738733253705,0.2598635787409508,0.19987311016408732
O+A,rf,0,1100,0.0538493631721535,0.24472939834366197,0.18861063877236559
O+A,rf,1,1100,0.05756454869722749,0.248665946722243,0.19248025650132541
