sample,variable,specification,se_type,amount,effect_or_wald,se,lo,hi,p,N
R,q43_edu,province_FE,HC3,1000,-0.2709157066706077,0.08900894260748521,-0.44537002848327145,-0.096461384857944,0.002336951353042305,5497
R,q43_edu,province_FE,HC3,5000,-0.10774800378686056,0.08715375930978098,-0.2785662331513037,0.0630702255775826,0.21634787626131324,5497
R,q43_edu,province_FE,HC3,joint,12.952392255764773,,,,0.04379822186180597,5497
R,q43_edu,province_FE,province_cluster,200,-0.0711265095749532,0.11316378386400164,-0.2929234503026713,0.15067043115276493,0.5296586723809595,5497
R,q43_edu,province_FE,province_cluster,1000,-0.2709157066706077,0.10877548557387584,-0.48411174079626057,-0.05771967254495486,0.012752931080063921,5497
R,q43_edu,province_FE,province_cluster,5000,-0.10774800378686056,0.09600781882764325,-0.29591987092328786,0.08042386334956675,0.2617418625500655,5497
R,q43_edu,province_FE,province_cluster,joint,16.88240639922944,,,,0.009725274020981946,5497
R,q43_edu,province_FE,city_cluster,200,-0.0711265095749532,0.09203374153940236,-0.25150932835464973,0.10925630920474333,0.43962252620342956,5497
R,q43_edu,province_FE,city_cluster,1000,-0.2709157066706077,0.09585357997888581,-0.45878527121845347,-0.08304614212276193,0.004708187978389493,5497
R,q43_edu,province_FE,city_cluster,5000,-0.10774800378686056,0.08875197658163508,-0.28169868144360766,0.06620267386988651,0.22473436822639747,5497
R,q43_edu,province_FE,city_cluster,joint,12.513789607451844,,,,0.051440620466414545,5497
R,q43_edu,citytier_FE,HC1,200,-0.07873282508998311,0.09069939004050107,-0.25650036298911605,0.09903471280914986,0.3853596006257465,5497
R,q43_edu,citytier_FE,HC1,1000,-0.2623707223204569,0.08770926982588668,-0.4342777322895005,-0.09046371235141329,0.0027773038052167237,5497
R,q43_edu,citytier_FE,HC1,5000,-0.1109655095476086,0.08602679544735839,-0.27957493032982533,0.05764391123460812,0.19708721297295528,5497
R,q43_edu,citytier_FE,HC1,joint,12.657734678862578,,,,0.048804827964990936,5497
R,q43_edu,citytier_FE,HC3,200,-0.07873282508998311,0.09116547935863246,-0.25741388126623244,0.09994823108626621,0.3877936971634012,5497
R,q43_edu,citytier_FE,HC3,1000,-0.2623707223204569,0.08813861392091879,-0.4351192312527383,-0.08962221338817541,0.002912772264922466,5497
R,q43_edu,citytier_FE,HC3,5000,-0.1109655095476086,0.08642887818032835,-0.2803629980052519,0.058431978910034696,0.1991790816378135,5497
R,q43_edu,citytier_FE,HC3,joint,12.53318780552308,,,,0.05107783344176712,5497
R,q43_edu,citytier_FE,province_cluster,200,-0.07873282508998311,0.11372871016002582,-0.3016370010118282,0.14417135083186203,0.48875756773093504,5497
R,q43_edu,citytier_FE,province_cluster,1000,-0.2623707223204569,0.10824583880326356,-0.47452866785118175,-0.050212776789732044,0.015357319829053029,5497
R,q43_edu,citytier_FE,province_cluster,5000,-0.1109655095476086,0.09445070209651281,-0.29608548397129547,0.07415446487607828,0.2400542993694983,5497
R,q43_edu,citytier_FE,province_cluster,joint,17.513011668097977,,,,0.007571729372677323,5497
R,q43_edu,citytier_FE,city_cluster,200,-0.07873282508998311,0.09207690165159854,-0.25920023613515286,0.10173458595518664,0.3925086162183812,5497
R,q43_edu,citytier_FE,city_cluster,1000,-0.2623707223204569,0.09589947304381252,-0.4503302356226992,-0.07441120901821457,0.00622112011334678,5497
R,q43_edu,citytier_FE,city_cluster,5000,-0.1109655095476086,0.08785473528985116,-0.283157626587017,0.06122660749179977,0.20656881379057868,5497
R,q43_edu,citytier_FE,city_cluster,joint,12.152508772289845,,,,0.05865172924385296,5497
R,q30_medexp,primary,HC1,200,0.25569254239258254,0.09660943791476143,0.06634152351299177,0.4450435612721733,0.008129052308328487,5497
R,q30_medexp,primary,HC1,1000,0.03258939808796475,0.08847940382403226,-0.140827046780714,0.20600584295664354,0.7126290455966098,5497
R,q30_medexp,primary,HC1,5000,0.12822883939300636,0.08832707053878973,-0.04488903772295039,0.3013467165089631,0.14657108470786775,5497
R,q30_medexp,primary,HC1,joint,11.064757140287925,,,,0.08639553540011204,5497
R,q30_medexp,primary,HC3,200,0.25569254239258254,0.09710863386139991,0.06536311743635195,0.44602196734881316,0.008462021082963261,5497
R,q30_medexp,primary,HC3,1000,0.03258939808796475,0.08895328184235447,-0.14175583062969077,0.20693462680562025,0.7140924897579009,5497
R,q30_medexp,primary,HC3,5000,0.12822883939300636,0.08880364237393805,-0.04582310135588724,0.30228078014189996,0.14875044293943487,5497
R,q30_medexp,primary,HC3,joint,10.950936768584628,,,,0.08990467843364963,5497
R,q30_medexp,primary,province_cluster,200,0.25569254239258254,0.10045698199803002,0.05880047568085514,0.45258460910431,0.010918580069004603,5497
R,q30_medexp,primary,province_cluster,1000,0.03258939808796475,0.08460330117893412,-0.13323002519594124,0.19840882137187071,0.700087435349807,5497
R,q30_medexp,primary,province_cluster,5000,0.12822883939300636,0.0735350540984563,-0.01589721824117249,0.2723548970271852,0.08119773735238604,5497
R,q30_medexp,primary,province_cluster,joint,17.45540584730619,,,,0.007747521409034667,5497
R,q30_medexp,primary,city_cluster,200,0.25569254239258254,0.09576186113589279,0.06800274347370677,0.4433823413114583,0.007583149704010064,5497
R,q30_medexp,primary,city_cluster,1000,0.03258939808796475,0.09144055590866011,-0.14663079821933028,0.21180959439525981,0.7215411607038119,5497
R,q30_medexp,primary,city_cluster,5000,0.12822883939300636,0.08639832965856474,-0.041108775062199315,0.297566453848212,0.13776680273830233,5497
R,q30_medexp,primary,city_cluster,joint,10.0769827618187,,,,0.12144732028415053,5497
R,q30_medexp,controls,HC1,200,0.206207804012139,0.0955818511014818,0.018870818277564566,0.3935447897467135,0.0309749034516281,5497
R,q30_medexp,controls,HC1,1000,0.01822318485917692,0.08631873595167759,-0.1509584287971339,0.18740479851548775,0.8327974912395356,5497
R,q30_medexp,controls,HC1,5000,0.10610662248898757,0.08713476824700829,-0.06467438507639299,0.2768876300543681,0.22332658774002057,5497
R,q30_medexp,controls,HC1,joint,8.339558670488076,,,,0.21426673564501067,5497
R,q30_medexp,controls,HC3,200,0.206207804012139,0.09647988514075272,0.017110703903702562,0.39530490412057545,0.03257246531627126,5497
R,q30_medexp,controls,HC3,1000,0.01822318485917692,0.08706799451036691,-0.15242694858727335,0.1888733183056272,0.8342153642367666,5497
R,q30_medexp,controls,HC3,5000,0.10610662248898757,0.08793265893738088,-0.06623822209312306,0.2784514670710982,0.22755522198234157,5497
R,q30_medexp,controls,HC3,joint,8.1846321877667,,,,0.22488640593222867,5497
R,q30_medexp,controls,province_cluster,200,0.206207804012139,0.09623705578553673,0.017586640694314953,0.3948289673299631,0.03213664052653648,5497
R,q30_medexp,controls,province_cluster,1000,0.01822318485917692,0.08520984190452317,-0.14878503640204038,0.18523140612039424,0.8306543296574453,5497
R,q30_medexp,controls,province_cluster,5000,0.10610662248898757,0.07258604873253177,-0.03615941880684394,0.2483726637848191,0.14379475356315852,5497
R,q30_medexp,controls,province_cluster,joint,14.893388071865397,,,,0.021102321865888438,5497
R,q30_medexp,controls,city_cluster,200,0.206207804012139,0.09347847698449561,0.022993355792871234,0.3894222522314068,0.02738828157517276,5497
R,q30_medexp,controls,city_cluster,1000,0.01822318485917692,0.09072934169086198,-0.15960305719594098,0.19604942691429483,0.8408141708924084,5497
R,q30_medexp,controls,city_cluster,5000,0.10610662248898757,0.08530453961833842,-0.0610872028807259,0.27330044785870106,0.21355231081813142,5497
R,q30_medexp,controls,city_cluster,joint,7.418186786462458,,,,0.2838974284836514,5497
R,q30_medexp,province_FE,HC1,200,0.2461428140357133,0.09752823391653942,0.054990988083498255,0.4372946399879284,0.011609037660281452,5497
R,q30_medexp,province_FE,HC1,1000,0.0279223375042625,0.0890578903594122,-0.14662792013930231,0.20247259514782728,0.7538778859006365,5497
R,q30_medexp,province_FE,HC1,5000,0.11852582650125647,0.08905641413925963,-0.05602153780397605,0.29307319080648897,0.1832195341189039,5497
R,q30_medexp,province_FE,HC1,joint,10.395728799128355,,,,0.10894603659762883,5497
R,q30_medexp,province_FE,HC3,200,0.2461428140357133,0.09833546150718683,0.053408851078502295,0.4388767769929243,0.012311315823435587,5497
R,q30_medexp,province_FE,HC3,1000,0.0279223375042625,0.08984468829667625,-0.1481700157594502,0.20401469076797524,0.7559644455579545,5497
R,q30_medexp,province_FE,HC3,5000,0.11852582650125647,0.08971539825836632,-0.05731312294380901,0.29436477594632193,0.1864575667564562,5497
R,q30_medexp,province_FE,HC3,joint,10.234162888934868,,,,0.11513099811519323,5497
R,q30_medexp,province_FE,province_cluster,200,0.2461428140357133,0.10241653633381924,0.045410091400089725,0.4468755366713369,0.01624561669789362,5497
R,q30_medexp,province_FE,province_cluster,1000,0.0279223375042625,0.08505959384425624,-0.13879140297008463,0.1946360779786096,0.7427090837234667,5497
R,q30_medexp,province_FE,province_cluster,5000,0.11852582650125647,0.07295209727225722,-0.0244576567490304,0.26150930975154335,0.104224878302601,5497
R,q30_medexp,province_FE,province_cluster,joint,16.26320524240875,,,,0.012408837998514331,5497
R,q30_medexp,province_FE,city_cluster,200,0.2461428140357133,0.09643707881625184,0.05712961278160911,0.4351560152898175,0.010699376164236237,5497
R,q30_medexp,province_FE,city_cluster,1000,0.0279223375042625,0.09085105252092278,-0.15014245339430304,0.205987128402828,0.758583126210076,5497
R,q30_medexp,province_FE,city_cluster,5000,0.11852582650125647,0.08808484732219876,-0.05411730183396253,0.2911689548364755,0.17843574264029938,5497
R,q30_medexp,province_FE,city_cluster,joint,9.341437872087361,,,,0.1552667528967155,5497
R,q30_medexp,citytier_FE,HC1,200,0.2539011178320521,0.09638537772454997,0.06498924885564497,0.44281298680845926,0.00843286926972275,5497
R,q30_medexp,citytier_FE,HC1,1000,0.03000303907712973,0.08876496880716928,-0.14397310287374337,0.20397918102800283,0.7353591159640336,5497
R,q30_medexp,citytier_FE,HC1,5000,0.12582207720183722,0.0882858768680172,-0.04721506180301435,0.29885921620668876,0.15410906746062572,5497
R,q30_medexp,citytier_FE,HC1,joint,10.79188220366113,,,,0.09502549550261767,5497
R,q30_medexp,citytier_FE,HC3,200,0.2539011178320521,0.09691651423457597,0.06394824042511973,0.4438539952389845,0.008798338840657805,5497
R,q30_medexp,citytier_FE,HC3,1000,0.03000303907712973,0.08927569128496116,-0.14497410053631052,0.20498017869056998,0.73681675017463,5497
R,q30_medexp,citytier_FE,HC3,5000,0.12582207720183722,0.0887932302303043,-0.048209456120532374,0.2998536105242068,0.15647611180264734,5497
R,q30_medexp,citytier_FE,HC3,joint,10.673589787698795,,,,0.09900376607231715,5497
R,q30_medexp,citytier_FE,province_cluster,200,0.2539011178320521,0.0969827170979472,0.06381848519723868,0.44398375046686556,0.00884458310403039,5497
R,q30_medexp,citytier_FE,province_cluster,1000,0.03000303907712973,0.0835828211094102,-0.13381628002356843,0.1938223581778279,0.7196236740067721,5497
R,q30_medexp,citytier_FE,province_cluster,5000,0.12582207720183722,0.0738692639157844,-0.018959019637584396,0.27060317404125883,0.08851052270251299,5497
R,q30_medexp,citytier_FE,province_cluster,joint,17.508887335375128,,,,0.007584185951358102,5497
R,q30_medexp,citytier_FE,city_cluster,200,0.2539011178320521,0.09478683979802122,0.06812232561956266,0.43967991004454154,0.007391880147290434,5497
R,q30_medexp,citytier_FE,city_cluster,1000,0.03000303907712973,0.09080606021923174,-0.1479735685305398,0.20797964668479926,0.7410917779632868,5497
R,q30_medexp,citytier_FE,city_cluster,5000,0.12582207720183722,0.08626681360239494,-0.043257770519886884,0.2949019249235613,0.1446966144715599,5497
R,q30_medexp,citytier_FE,city_cluster,joint,9.912061548748394,,,,0.1284044820946291,5497
A,income_h,primary,HC1,200,-0.270553135842207,0.09537403492583776,-0.4574828093571143,-0.08362346232729975,0.004557402204546787,5480
A,income_h,primary,HC1,1000,-0.15206460281722217,0.08627723556453819,-0.3211648772093953,0.01703567157495095,0.07798294847795381,5480
A,income_h,primary,HC1,5000,-0.045841917544280464,0.08414141892635081,-0.21075606824802492,0.119072233159464,0.5858774062294474,5480
A,income_h,primary,HC1,joint,16.49931963825076,,,,0.011310621855917705,5480
A,income_h,primary,HC3,200,-0.270553135842207,0.0960059651171759,-0.4587213697728806,-0.0823849019115335,0.0048310758972781335,5480
A,income_h,primary,HC3,1000,-0.15206460281722217,0.08674115250796496,-0.32207413771032967,0.01794493207588535,0.07958743871912037,5480
A,income_h,primary,HC3,5000,-0.045841917544280464,0.08464043330103503,-0.21173411845017376,0.12005028336161283,0.5880887281417115,5480
A,income_h,primary,HC3,joint,16.304212411084485,,,,0.01221100983775113,5480
A,income_h,primary,province_cluster,200,-0.270553135842207,0.09996961812119967,-0.46648998690798116,-0.07461628477643292,0.006802656947759572,5480
A,income_h,primary,province_cluster,1000,-0.15206460281722217,0.08402777060180859,-0.3167560068979606,0.012626801263516202,0.07034316020246814,5480
A,income_h,primary,province_cluster,5000,-0.045841917544280464,0.08498662277752644,-0.2124126373559237,0.12072880226736277,0.5896097996814711,5480
A,income_h,primary,province_cluster,joint,14.49426593423807,,,,0.024576776025962112,5480
A,income_h,primary,city_cluster,200,-0.270553135842207,0.08997644613580674,-0.44690372972529635,-0.0942025419591177,0.0026389800943273744,5480
A,income_h,primary,city_cluster,1000,-0.15206460281722217,0.08556896864467355,-0.3197766995550195,0.01564749392057513,0.07555181002722555,5480
A,income_h,primary,city_cluster,5000,-0.045841917544280464,0.07963912126024535,-0.20193172697477946,0.11024789188621853,0.5648716643141947,5480
A,income_h,primary,city_cluster,joint,17.53740155648973,,,,0.007498469291825144,5480
