variable,estimand,primary_effect,primary_p,primary_q,sign_stability,specs_p_lt_05,specs_total
q17c_fut_price,medical-cash,0.13797176462026142,0.010097540117371321,0.1413655616431985,1.0,12,14
q17c_fut_price,medical-food,0.03712891289629834,0.4797987059255079,0.8166465767948325,0.8571428571428571,0,14
q17c_fut_price,restricted-cash,0.11940730817211226,0.012301419893403132,0.17221987850764384,1.0,11,14
q17d_fut_fair,food-cash,0.07863011287461225,0.15253391817576076,0.8343873281313628,1.0,0,14
q17d_fut_fair,medical-cash,0.08899856841451748,0.09603130222405808,0.4161356429709184,1.0,6,14
q17d_fut_fair,medical-food,0.01036845553990523,0.8430994121057378,0.9047896944724323,0.5714285714285714,0,14
q17d_fut_fair,restricted-cash,0.08381434064456486,0.07749559172685094,0.5037213462245311,1.0,4,14
q17e_fut_welfare,food-cash,0.08303262223577382,0.13644036138617743,0.6618890817969858,1.0,0,14
q17e_fut_welfare,medical-cash,0.06410159897941906,0.23755229626481433,0.36952579418971115,1.0,0,14
q17e_fut_welfare,medical-food,-0.018931023256354762,0.7140454508666139,0.8166465767948325,0.7857142857142857,0,14
q17e_fut_welfare,restricted-cash,0.07356711060759644,0.1299242847347714,0.3481246862209062,1.0,0,14
q18_ses_now,food-cash,0.024220492329836793,0.6618890817969858,0.6618890817969858,0.8571428571428571,0,14
q18_ses_now,medical-cash,0.03657708936635769,0.49550531863467684,0.49550531863467684,1.0,0,14
q18_ses_now,medical-food,0.012356597036520894,0.8166465767948325,0.8166465767948325,0.7142857142857143,0,14
q18_ses_now,restricted-cash,0.03039879084809724,0.5228762964714166,0.5228762964714166,1.0,0,14
q19_ses_past5,food-cash,0.03967918688735147,0.46964262192923834,0.6618890817969858,0.9285714285714286,0,14
q19_ses_past5,medical-cash,0.08442447724349106,0.11364052654732772,0.3213259638889811,1.0,1,14
q19_ses_past5,medical-food,0.04474529035613959,0.39075958679588074,0.8166465767948325,1.0,0,14
q19_ses_past5,restricted-cash,0.06205183206542127,0.19082239966569214,0.3481246862209062,1.0,0,14
q20_ses_next1,food-cash,0.02627557005888408,0.6286074989016481,0.6618890817969858,0.8571428571428571,0,14
q20_ses_next1,medical-cash,0.06814550305288407,0.20402339348451137,0.3570409385978949,1.0,0,14
q20_ses_next1,medical-food,0.04186993299399999,0.4268274092059432,0.8166465767948325,0.8571428571428571,0,14
q20_ses_next1,restricted-cash,0.04721053655588407,0.3164177802946204,0.40271353855678965,1.0,0,14
q21_order,food-cash,0.018020411008204222,0.7400045857021796,0.8343873281313628,0.6428571428571429,0,14
q21_order,medical-cash,0.043276515804649404,0.4091128264904431,0.70658200779994,1.0,0,14
q21_order,medical-food,0.025256104796445182,0.6258171600096472,0.9039581200139347,0.8571428571428571,0,14
q21_order,restricted-cash,0.030648463406426813,0.511369035883046,0.7386441629421776,0.9285714285714286,0,14
q22_vitality,food-cash,0.006028433784862807,0.9142348605498374,0.9142348605498374,0.42857142857142855,0,14
q22_vitality,medical-cash,-0.006106591981515977,0.908994955459094,0.992901332758698,0.7857142857142857,0,14
q22_vitality,medical-food,-0.012135025766378784,0.820437758306353,0.9047896944724323,0.5714285714285714,0,14
q22_vitality,restricted-cash,-3.9079098326584745e-05,0.9993468588735579,0.9993468588735579,0.7142857142857143,0,14
q23_hukou,food-cash,-0.013590303285270004,0.7933678356221314,0.8815198173579238,0.6428571428571429,0,14
q23_hukou,medical-cash,0.07671674584779961,0.13190265518472782,0.32975663796181953,1.0,4,14
q23_hukou,medical-food,0.09030704913306961,0.0736733441540873,0.16053938082520997,0.9285714285714286,7,14
q23_hukou,restricted-cash,0.031563221281264806,0.48087816177375664,0.9317810361554472,0.9285714285714286,1,14
q24_workstat,food-cash,-0.07010591234383812,0.17521902749816387,0.8507990923855339,1.0,0,14
q24_workstat,medical-cash,0.025192145668774577,0.6335789954597657,0.7925983582428098,0.5714285714285714,0,14
q24_workstat,medical-food,0.0952980580126127,0.05517943912648403,0.16053938082520997,0.9285714285714286,3,14
q24_workstat,restricted-cash,-0.02245688333753177,0.62542254378338,0.9317810361554472,0.9285714285714286,0,14
q25_unittype,food-cash,-0.04742430077596162,0.3771760907836649,0.8507990923855339,0.8571428571428571,0,14
q25_unittype,medical-cash,0.03494294445004931,0.5118331244987013,0.7925983582428098,0.6428571428571429,0,14
q25_unittype,medical-food,0.08236724522601092,0.11589123507899006,0.19315205846498343,1.0,0,14
q25_unittype,restricted-cash,-0.006240678162956155,0.8935379611107334,0.9317810361554472,0.6428571428571429,0,14
