domain,encoded_predictor,context,row_type,standardized_coef,lo,p10,p25,p50,p75,p90,hi,pooled_coef,fixed_display_subset,bootstrap_B
expectations,q20_ses_next1,cash-medical,difference,0.0016142372,-0.03364630686119199,-0.020570782013237476,-0.010826316429302096,0.0011185889597982168,0.011903377715498209,0.022655575722455985,0.03160422034561634,-0.015150811,True,300
expectations,q20_ses_next1,food-medical,difference,-0.007403382,-0.03851776709780097,-0.028342800214886665,-0.018788374960422516,-0.007357759401202202,0.002530347555875778,0.013045119121670725,0.0231078242883086,-0.015150811,True,300
social_wellbeing,q01_lifesat,cash,form,-0.015846629,-0.03833670476451516,-0.03295233733952045,-0.024581759236752987,-0.015790334902703762,-0.006639251369051635,-0.0006500649848021533,0.0072231948026455755,-0.0061766393,False,300
social_wellbeing,q01_lifesat,food,form,-9.564212e-05,-0.021659660758450626,-0.014489620085805654,-0.007412924082018435,0.0004156565119046718,0.007567981840111315,0.014390740729868417,0.02550174947828053,-0.0061766393,False,300
social_wellbeing,q01_lifesat,medical,form,-0.006699653,-0.025388496508821846,-0.019303837418556215,-0.012104299385100603,-0.005798542173579335,0.0009248059359379113,0.006386748002842071,0.012284528464078901,-0.0061766393,False,300
social_wellbeing,q01_lifesat,cash-food,difference,-0.015750987,-0.048665551841259,-0.03793793506920338,-0.026674299966543913,-0.015952405519783497,-0.004904777393676341,0.004075122904032473,0.018765870295464965,-0.0061766393,False,300
social_wellbeing,q01_lifesat,cash-medical,difference,-0.009146975,-0.039536615181714294,-0.0291448175907135,-0.020945318043231964,-0.009612678084522486,0.0005758974584750831,0.010592717956751586,0.022417625598609443,-0.0061766393,False,300
social_wellbeing,q01_lifesat,food-medical,difference,0.0066040107,-0.022256994666531683,-0.012813428789377211,-0.0046651666052639484,0.005432535894215107,0.015812473371624947,0.025805928185582173,0.03871385874226689,-0.0061766393,False,300
social_wellbeing,q02_safety,cash,form,0.004102606,-0.014329971862025559,-0.007656278042122721,-0.0025116928736679256,0.004223722731694579,0.010494126239791512,0.01651087272912264,0.021248619491234418,0.0045878734,False,300
social_wellbeing,q02_safety,food,form,0.012362652,-0.002883713494520634,0.0015928952139802278,0.005920474999584258,0.011229448951780796,0.016674713231623173,0.022541652992367756,0.028107250574976192,0.0045878734,False,300
social_wellbeing,q02_safety,medical,form,-0.0032627825,-0.018655483704060317,-0.013791568204760551,-0.00864505977369845,-0.003292592358775437,0.0025941060157492757,0.007311123423278334,0.011186970211565488,0.0045878734,False,300
social_wellbeing,q02_safety,cash-food,difference,-0.008260047,-0.0315725683234632,-0.023338570818305017,-0.016122418455779552,-0.007560437079519033,0.0006646019755862653,0.0077814077492803346,0.017307781474664805,0.0045878734,False,300
social_wellbeing,q02_safety,cash-medical,difference,0.0073653883,-0.016431262949481606,-0.008438052795827388,0.0007148111326387152,0.006736650364473462,0.014660644577816129,0.022641165740787984,0.029902701126411555,0.0045878734,False,300
social_wellbeing,q02_safety,food-medical,difference,0.015625436,-0.006933508580550551,-0.0013136036228388547,0.0061903324676677585,0.014983368571847677,0.022709679789841175,0.029959405213594446,0.03990085842087862,0.0045878734,False,300
social_wellbeing,q03a_fair_dist,cash,form,0.0011533555,-0.025585300475358962,-0.020268033631145953,-0.010064156260341406,0.0002529778575990349,0.009768775897100568,0.01597786694765091,0.02942489869892597,0.0058479835,False,300
social_wellbeing,q03a_fair_dist,food,form,-0.007387755,-0.03662925269454718,-0.02809253167361021,-0.019088055938482285,-0.007293768227100372,0.0021322848624549806,0.00854143612086774,0.01995769985951482,0.0058479835,False,300
social_wellbeing,q03a_fair_dist,medical,form,0.02629403,0.007242395146749914,0.013503484427928925,0.01876444136723876,0.026548055931925774,0.03314442466944456,0.03982856646180153,0.05142339300364254,0.0058479835,False,300
social_wellbeing,q03a_fair_dist,cash-food,difference,0.008541111,-0.027244161209091542,-0.017101484537124633,-0.007596146431751549,0.009020145516842604,0.022382088005542755,0.03627787530422211,0.049007079284638155,0.0058479835,False,300
social_wellbeing,q03a_fair_dist,cash-medical,difference,-0.025140675,-0.05955071793869138,-0.04900327958166599,-0.038915859535336494,-0.026739212684333324,-0.013497836655005813,-0.004633913375437259,0.00574823357164857,0.0058479835,False,300
